"length","averageSlope","propZero","switches","maxslope","slope.move","jerkyness","prop.time.plateau","switches.between.sections","steepness.sig.mean","steepness.sig.mean.max","expressiveness.sig.mean.max","length.hz","averageSlope.hz","propZero.hz","switches.hz","maxslope.hz","slope.move.hz","jerkyness.hz","prop.time.plateau.hz","switches.between.sections.hz","steepness.sig.mean.hz","steepness.sig.mean.max.hz","expressiveness.sig.mean.max.hz","logfile","chain","curvature","run","gen","meaning","physSignal","hzSignal","numLearningRounds","abortedReproductionAttempts","physSigDistinctiveness","hzSigDistinctiveness","dataFilePhysSignal","dataFileHzSignal","chain2","rawDataSource"
69,7.44117647058824,0.72463768115942,0,81,27.3888888888889,15.7161219181927,0.347826086956522,1,0.403379642607936,0.471383654578146,0.128507583994467,69,33.3823529411765,0.623188405797101,0,249,90.8,68.1473446251258,NA,99,-1,-1,-1,"log1.csv","chain 1",0.1,"",8,1,"81_117_198_264_293_294_294_294_294_294_294_294_294_294_294_294_294_294_294_296_311_327_342_362_372_378_391_395_395_395_395_395_395_395_395_395_395_395_395_396_412_448_489_521_551_576_582_584_584_584_586_586_586_586_586_587_587_587_587_587_587_587_587_587_587_587_587_587_587","298_370_608_857_967_974_974_974_974_974_974_974_974_974_974_974_974_974_974_981_1038_1094_1149_1223_1257_1277_1325_1339_1339_1339_1339_1339_1339_1339_1339_1339_1339_1339_1339_1346_1402_1550_1760_1968_2211_2447_2506_2527_2527_2527_2547_2547_2547_2547_2547_2568_2568_2568_2568_2568_2568_2568_2568_2568_2568_2568_2568_2568_2568",24,5,226,226,"../backup/June14_corrected/fluteilm_NIJMEGEN/results/output_04032016151735.txt","../backup/June14_corrected/fluteilm_NIJMEGEN/outputLanguages/output_04032016151735.txt","chain 1 log1.csv 0.1","../backup/June14_corrected/"
62,10.1639344262295,0.709677419354839,0,123,35.1764705882353,23.3482192953188,0.306451612903226,1,0.391390163198388,0.394978840176822,0.328450951563806,62,55.0163934426229,0.612903225806452,0,1100,145.913043478261,172.651816459532,NA,83,-1,-1,-1,"log1.csv","chain 1",0.1,"",8,2,"49_88_153_221_251_258_262_262_262_262_262_262_262_262_262_262_262_262_262_270_287_308_338_362_381_385_389_393_393_395_395_395_395_395_395_402_410_432_555_650_665_669_669_669_669_669_669_669_669_669_669_669_669_669_669_669_669_669_669_669_669_669","250_312_462_691_806_835_850_850_850_850_850_850_850_850_850_850_850_850_850_879_945_1024_1135_1223_1291_1304_1318_1332_1332_1339_1339_1339_1339_1339_1339_1367_1395_1485_2245_3345_3553_3606_3606_3606_3606_3606_3606_3606_3606_3606_3606_3606_3606_3606_3606_3606_3606_3606_3606_3606_3606_3606",24,5,226,226,"../backup/June14_corrected/fluteilm_NIJMEGEN/results/output_04032016151735.txt","../backup/June14_corrected/fluteilm_NIJMEGEN/outputLanguages/output_04032016151735.txt","chain 1 log1.csv 0.1","../backup/June14_corrected/"
59,11.8620689655172,0.644067796610169,0,81,34.15,20.0117932561901,0.661016949152542,2,0.349124882693156,0.255558580616297,0.195559351825737,59,74.6551724137931,0.593220338983051,0,851,188.260869565217,172.367676349047,NA,81,-1,-1,-1,"log1.csv","chain 1",0.1,"",8,3,"54_75_126_181_221_236_258_272_274_274_274_274_274_274_274_274_274_274_289_311_349_410_446_463_463_463_463_463_463_463_463_463_463_463_463_463_465_466_487_527_608_672_712_737_742_742_742_742_742_742_742_742_742_742_742_742_742_742_742","258_289_392_550_691_748_835_887_894_894_894_894_894_894_894_894_894_894_952_1038_1176_1395_1541_1620_1620_1620_1620_1620_1620_1620_1620_1620_1620_1620_1620_1620_1629_1639_1749_2010_2807_3658_4203_4519_4588_4588_4588_4588_4588_4588_4588_4588_4588_4588_4588_4588_4588_4588_4588",24,5,226,226,"../backup/June14_corrected/fluteilm_NIJMEGEN/results/output_04032016151735.txt","../backup/June14_corrected/fluteilm_NIJMEGEN/outputLanguages/output_04032016151735.txt","chain 1 log1.csv 0.1","../backup/June14_corrected/"
96,3.64210526315789,0.614583333333333,0,20,7.77777777777778,3.91102040740005,0.5625,1,0.355432801150483,0.274299116985743,0.171389555258776,96,10.8526315789474,0.4375,0,39,19.0754716981132,11.7201122108605,NA,87,-1,-1,-1,"log1.csv","chain 1",0.1,"",9,1,"25_27_32_36_42_45_47_53_60_74_94_102_103_103_103_105_105_106_108_111_114_121_126_134_140_147_153_161_169_181_190_199_210_221_230_236_240_245_250_254_260_268_269_269_274_278_283_286_289_291_294_295_298_303_307_315_324_332_339_346_352_356_364_368_371_371_371_371_371_371_371_371_371_371_371_371_371_371_371_371_371_371_371_371_371_371_371_371_371_371_371_371_371_371_371_371","224_225_230_235_242_246_248_256_266_287_322_337_341_341_341_344_344_347_350_357_363_381_392_411_427_448_465_487_511_550_581_612_651_690_725_748_765_783_801_818_842_872_878_878_895_913_931_942_954_960_971_977_989_1006_1023_1052_1086_1113_1141_1163_1185_1201_1228_1245_1255_1255_1255_1255_1255_1255_1255_1255_1255_1255_1255_1255_1255_1255_1255_1255_1255_1255_1255_1255_1255_1255_1255_1255_1255_1255_1255_1255_1255_1255_1255_1255",15,1,434,394,"../backup/June14_corrected/fluteilm_NIJMEGEN/results/output_04032016161052.txt","../backup/June14_corrected/fluteilm_NIJMEGEN/outputLanguages/output_04032016161052.txt","chain 1 log1.csv 0.1","../backup/June14_corrected/"
71,6.71428571428571,0.492957746478873,0,26,13.2857142857143,7.5529874253582,0.225352112676056,0,0.436946241618405,0.683103166213734,0.112710261047502,71,33.5714285714286,0.464788732394366,0,268,63.5135135135135,49.0487989566414,NA,111,-1,-1,-1,"log1.csv","chain 1",0.1,"",9,2,"135_135_135_140_150_163_179_205_227_240_250_259_271_280_289_298_310_320_329_338_350_359_370_381_397_410_422_431_443_455_469_484_504_530_547_564_589_600_600_600_603_605_605_605_605_605_605_605_605_605_605_605_605_605_605_605_605_605_605_605_605_605_605_605_605_605_605_605_605_605_605","415_415_415_427_456_492_545_634_713_765_801_836_883_919_954_989_1035_1069_1102_1135_1179_1212_1250_1288_1349_1395_1442_1479_1530_1585_1652_1733_1851_2033_2170_2322_2590_2711_2711_2711_2747_2765_2765_2765_2765_2765_2765_2765_2765_2765_2765_2765_2765_2765_2765_2765_2765_2765_2765_2765_2765_2765_2765_2765_2765_2765_2765_2765_2765_2765_2765",15,1,434,394,"../backup/June14_corrected/fluteilm_NIJMEGEN/results/output_04032016161052.txt","../backup/June14_corrected/fluteilm_NIJMEGEN/outputLanguages/output_04032016161052.txt","chain 1 log1.csv 0.1","../backup/June14_corrected/"
83,6.64634146341463,0.55421686746988,0,52,14.6111111111111,9.68819053448994,0.313253012048193,1,0.414545481214372,0.559060285693257,0.165158505411472,83,26.3170731707317,0.493975903614458,0,158,52.5365853658537,37.3240325877559,NA,131,-1,-1,-1,"log1.csv","chain 1",0.1,"",9,3,"25_25_30_39_50_60_76_89_111_123_138_190_233_251_265_271_280_292_314_338_361_388_408_414_420_425_428_431_435_446_455_460_464_471_486_498_510_524_535_545_556_565_568_568_570_570_570_570_570_570_570_570_570_570_570_570_570_570_570_570_570_570_570_570_570_570_570_570_570_570_570_570_570_570_570_570_570_570_570_570_570_570_570","224_224_228_239_252_266_290_314_357_384_423_581_736_807_860_883_919_966_1046_1135_1217_1316_1389_1412_1436_1454_1466_1479_1498_1544_1585_1607_1629_1659_1741_1813_1891_1988_2069_2157_2251_2337_2367_2367_2382_2382_2382_2382_2382_2382_2382_2382_2382_2382_2382_2382_2382_2382_2382_2382_2382_2382_2382_2382_2382_2382_2382_2382_2382_2382_2382_2382_2382_2382_2382_2382_2382_2382_2382_2382_2382_2382_2382",15,1,434,394,"../backup/June14_corrected/fluteilm_NIJMEGEN/results/output_04032016161052.txt","../backup/June14_corrected/fluteilm_NIJMEGEN/outputLanguages/output_04032016161052.txt","chain 1 log1.csv 0.1","../backup/June14_corrected/"
48,9.14893617021277,0.4375,0,35,15.5769230769231,8.77491167651389,0.708333333333333,1,0.345746442062953,0.245262925848061,0.126006278541126,48,27.6382978723404,0.270833333333333,0,86,38.2058823529412,23.4941486997664,NA,57,-1,-1,-1,"log1.csv","chain 1",0.1,"",10,1,"7_7_21_56_83_108_132_147_165_184_196_210_223_239_250_260_266_280_287_301_315_338_354_365_379_392_396_406_408_418_420_424_428_428_431_433_437_437_437_437_437_437_437_437_437_437_437_437","206_206_219_260_302_352_406_448_499_561_601_650_700_759_804_842_865_918_947_999_1050_1136_1192_1233_1282_1331_1345_1382_1389_1426_1434_1449_1465_1465_1481_1489_1505_1505_1505_1505_1505_1505_1505_1505_1505_1505_1505_1505",15,1,72,42,"../backup/June14_corrected/fluteilm_NIJMEGEN/results/output_04032016162125.txt","../backup/June14_corrected/fluteilm_NIJMEGEN/outputLanguages/output_04032016162125.txt","chain 1 log1.csv 0.1","../backup/June14_corrected/"
53,6.92307692307692,0.415094339622642,0,20,11.5333333333333,6.10639701170462,0.679245283018868,0,0.386284319916406,0.325744427275705,0.188734331473956,53,26.2115384615385,0.320754716981132,0,87,38.9428571428571,23.1384041499481,NA,71,-1,-1,-1,"log1.csv","chain 1",0.1,"",10,2,"130_130_134_151_165_177_188_204_214_223_233_243_250_258_268_278_287_301_313_322_338_354_365_377_389_394_402_414_420_437_457_470_472_472_476_486_486_488_490_490_490_490_490_490_490_490_490_490_490_490_490_490_490","401_401_411_458_499_536_574_629_664_700_737_774_804_835_872_910_947_999_1043_1079_1136_1192_1233_1275_1317_1338_1367_1411_1434_1505_1592_1658_1668_1668_1688_1742_1742_1753_1764_1764_1764_1764_1764_1764_1764_1764_1764_1764_1764_1764_1764_1764_1764",15,1,72,42,"../backup/June14_corrected/fluteilm_NIJMEGEN/results/output_04032016162125.txt","../backup/June14_corrected/fluteilm_NIJMEGEN/outputLanguages/output_04032016162125.txt","chain 1 log1.csv 0.1","../backup/June14_corrected/"
50,9.42857142857143,0.46,2,30,16.5925925925926,9.28484428158778,0.8,1,0.34480837770087,0.202857266839347,0.122858318738715,50,30.2448979591837,0.42,2,76,47.6774193548387,28.3067502345914,NA,71,-1,-1,-1,"log1.csv","chain 1",0.1,"",10,3,"15_19_36_66_91_118_138_163_184_206_225_243_262_282_297_313_330_350_363_377_389_400_410_418_426_433_445_461_461_464_466_466_466_466_466_463_457_455_455_455_455_455_455_455_455_455_455_455_455_455","213_217_236_274_317_373_421_493_561_636_708_774_850_925_985_1043_1108_1178_1226_1275_1317_1360_1396_1426_1457_1489_1539_1610_1610_1629_1639_1639_1639_1639_1639_1619_1592_1583_1583_1583_1583_1583_1583_1583_1583_1583_1583_1583_1583_1583",15,1,72,42,"../backup/June14_corrected/fluteilm_NIJMEGEN/results/output_04032016162125.txt","../backup/June14_corrected/fluteilm_NIJMEGEN/outputLanguages/output_04032016162125.txt","chain 1 log1.csv 0.1","../backup/June14_corrected/"
25,37.0416666666667,0.36,0,115,59.2666666666667,41.7950269214211,0.64,2,0.283007462741328,0.312465049795197,0.0763834452620113,25,239.416666666667,0.36,0,1815,383.066666666667,418.502082137739,NA,34,-1,-1,-1,"log1.csv","chain 1",0.2,"",1,1,"52_52_52_52_63_88_172_258_356_428_507_591_598_598_598_603_700_770_816_931_941_941_941_941_941","234_234_234_234_246_281_525_959_1313_1469_1767_2640_2749_2749_2749_2824_4639_5490_5755_5974_5980_5980_5980_5980_5980",6,2,148,126,"../backup/June14_corrected/fluteilm_NIJMEGEN/results/output_02032016132454.txt","../backup/June14_corrected/fluteilm_NIJMEGEN/outputLanguages/output_02032016132454.txt","chain 1 log1.csv 0.2","../backup/June14_corrected/"
