"length","averageSlope","propZero","switches","maxslope","slope.move","jerkyness","prop.time.plateau","switches.between.sections","steepness.sig.mean","steepness.sig.mean.max","expressiveness.sig.mean.max","length.hz","averageSlope.hz","propZero.hz","switches.hz","maxslope.hz","slope.move.hz","jerkyness.hz","prop.time.plateau.hz","switches.between.sections.hz","steepness.sig.mean.hz","steepness.sig.mean.max.hz","expressiveness.sig.mean.max.hz","logfile","chain","curvature","run","gen","meaning","attempt","physSignal","hzSignal","numLearningRounds","abortedReproductionAttempts","physSigDistinctiveness","hzSigDistinctiveness","dataFilePhysSignal","dataFileHzSignal","chain2","rawDataSource"
38,26.3243243243243,0.131578947368421,0,55,30.375,16.3266211617272,0.605263157894737,2,0.372444497694116,0.301187271983573,0.136701880353437,38,146.027027027027,0.105263157894737,0,495,163.727272727273,141.100139083026,NA,41,-1,-1,-1,"log1.csv","chain 1",0,"",1,1,1,"7_7_7_7_7_20_66_107_127_138_150_166_179_212_242_272_305_342_381_433_488_529_570_607_625_650_675_712_751_800_850_887_914_942_951_953_959_981","212_212_212_212_212_233_310_384_422_443_465_499_525_596_664_735_818_919_1030_1197_1396_1558_1735_1915_2013_2143_2298_2534_2817_3219_3714_4149_4524_4938_5088_5119_5213_5615",6,9,4424,4206,"../backup/June14_corrected/fluteilm_NIJMEGEN/results/output_02032016124716.txt",NA,"chain 1 log1.csv 0","../backup/June14_corrected/"
40,24.2307692307692,0.075,0,43,26.1944444444444,9.95109498989813,0.6,2,0.372444497694116,0.308762267548936,0.131670856813915,40,124.333333333333,0.075,0,374,134.611111111111,103.423333754585,NA,45,-1,-1,-1,"log1.csv","chain 1",0,"",1,2,1,"5_5_5_7_31_51_75_105_127_150_166_175_188_207_233_259_290_333_374_398_433_466_494_516_550_585_616_650_679_707_731_746_772_807_824_848_870_900_925_950","209_209_209_212_251_285_326_380_422_465_499_518_544_584_643_703_781_893_1008_1083_1197_1312_1417_1503_1645_1804_1961_2143_2321_2497_2662_2775_2982_3286_3443_3695_3942_4315_4684_5058",6,9,4424,4206,"../backup/June14_corrected/fluteilm_NIJMEGEN/results/output_02032016124716.txt",NA,"chain 1 log1.csv 0","../backup/June14_corrected/"
35,28.8823529411765,0.0857142857142857,0,48,31.5483870967742,14.2483698288874,0.628571428571429,2,0.372444497694116,0.273456759482917,0.123075513095872,35,160.588235294118,0.0571428571428571,0,482,170.625,119.570219675114,NA,43,-1,-1,-1,"log1.csv","chain 1",0,"",1,2,2,"1_1_1_37_83_122_161_187_212_240_259_281_314_362_409_446_487_525_559_596_638_674_698_744_783_818_862_901_918_931_944_951_955_966_983","203_203_203_260_339_411_488_541_596_660_703_756_844_976_1117_1241_1389_1543_1685_1860_2082_2283_2437_2761_3074_3396_3857_4339_4577_4757_4968_5088_5150_5342_5663",6,9,4424,4206,"../backup/June14_corrected/fluteilm_NIJMEGEN/results/output_02032016124716.txt",NA,"chain 1 log1.csv 0","../backup/June14_corrected/"
44,44.7674418604651,0.454545454545455,1,150,48,32.388149809182,0.727272727272727,4,0.372444497694116,0.229302342038264,0.113148109177968,44,246.558139534884,0.409090909090909,1,1472,252.428571428571,237.766021674929,NA,65,-1,-1,-1,"log1.csv","chain 1",0,"",1,2,3,"7_7_29_144_211_285_335_396_449_496_544_590_627_670_701_727_764_790_822_851_879_909_937_957_970_974_975_970_961_931_892_742_624_555_514_492_449_403_351_259_161_87_35_18","212_212_248_454_592_766_897_1077_1254_1424_1621_1833_2019_2261_2461_2636_2922_3137_3431_3734_4059_4439_4851_5182_5409_5476_5522_5409_5245_4757_4219_2747_2000_1669_1498_1410_1254_1100_945_703_488_346_257_230",6,9,4424,4206,"../backup/June14_corrected/fluteilm_NIJMEGEN/results/output_02032016124716.txt",NA,"chain 1 log1.csv 0","../backup/June14_corrected/"
70,28.6521739130435,0.428571428571429,1,98,31.6451612903226,18.0447369603802,0.657142857142857,4,0.372444497694116,0.270900837478901,0.134838860811445,70,167.550724637681,0.4,1,1065,175.121212121212,195.384126653105,NA,85,-1,-1,-1,"log1.csv","chain 1",0,"",1,2,4,"14_14_14_16_50_70_77_90_96_111_133_162_205_238_261_281_301_331_375_418_451_477_514_542_562_579_598_622_648_679_711_750_774_803_827_857_888_911_929_944_948_951_962_994_1000_998_994_961_896_798_757_712_679_631_568_522_492_464_412_340_287_238_188_157_127_85_57_44_29_9","224_224_224_227_282_317_330_353_363_391_432_491_580_656_707_756_809_887_1016_1149_1260_1352_1498_1613_1702_1780_1869_1993_2133_2321_2522_2803_2992_3252_3480_3795_4173_4464_4739_4968_5028_5088_5277_5884_6000_5961_5884_5245_4267_3202_2859_2534_2321_2039_1729_1528_1410_1308_1129_914_772_656_544_480_422_343_295_272_248_215",6,9,4424,4206,"../backup/June14_corrected/fluteilm_NIJMEGEN/results/output_02032016124716.txt",NA,"chain 1 log1.csv 0","../backup/June14_corrected/"
65,30.40625,0.461538461538462,1,84,32.9152542372881,17.8652084959335,0.676923076923077,4,0.372444497694116,0.264142267393755,0.12455872369644,65,168.796875,0.446153846153846,1,755,180.05,159.854217284782,NA,69,-1,-1,-1,"log1.csv","chain 1",0,"",1,2,5,"9_9_9_9_25_50_72_96_109_127_142_161_181_216_257_285_318_350_370_392_422_475_524_568_614_644_670_711_755_787_818_850_870_896_922_948_968_977_981_981_961_912_874_840_814_781_718_635_551_470_416_377_340_303_274_240_212_198_172_133_92_57_33_14_7","215_215_215_215_242_282_320_363_387_422_450_488_529_604_698_766_854_939_998_1066_1161_1348_1533_1729_1955_2113_2261_2522_2845_3105_3396_3714_3942_4267_4630_5028_5387_5545_5615_5615_5245_4490_3985_3617_3360_3053_2576_2059_1653_1325_1141_1019_914_814_738_660_596_565_510_432_356_295_254_224_212",6,9,4424,4206,"../backup/June14_corrected/fluteilm_NIJMEGEN/results/output_02032016124716.txt",NA,"chain 1 log1.csv 0","../backup/June14_corrected/"
56,14.2181818181818,0.5,0,57,28.8888888888889,16.9494792983398,0.732142857142857,2,0.372444497694116,0.21343577691872,0.102496156776865,56,52.3272727272727,0.482142857142857,0,301,102.785714285714,71.1547751047111,NA,77,-1,-1,-1,"log1.csv","chain 1",0,"",1,3,1,"3_3_3_3_3_18_40_59_88_109_129_148_172_192_225_264_305_348_405_459_501_537_579_607_622_644_664_692_722_762_775_783_785_785_785_785_785_785_785_785_785_785_785_785_785_785_785_785_785_785_785_785_785_785_785_785","206_206_206_206_206_230_266_298_349_387_425_461_510_552_626_717_818_934_1106_1286_1445_1589_1780_1915_1993_2113_2232_2401_2602_2903_3012_3074_3084_3084_3084_3084_3084_3084_3084_3084_3084_3084_3084_3084_3084_3084_3084_3084_3084_3084_3084_3084_3084_3084_3084_3084",6,9,4424,4206,"../backup/June14_corrected/fluteilm_NIJMEGEN/results/output_02032016124716.txt",NA,"chain 1 log1.csv 0","../backup/June14_corrected/"
82,10.716049382716,0.585365853658537,4,43,23.4571428571429,13.695103657787,0.829268292682927,2,0.372444497694116,0.152206713973161,0.089763985081079,82,45.2469135802469,0.548780487804878,4,221,67.8148148148148,54.8806730243438,NA,131,-1,-1,-1,"log1.csv","chain 1",0,"",1,3,2,"5_5_5_5_7_37_53_77_98_125_146_172_207_246_281_324_350_390_427_466_503_540_579_612_638_659_675_681_703_712_725_737_744_753_757_759_761_766_792_816_824_824_824_824_824_820_814_811_809_807_805_805_803_800_794_792_790_788_787_785_783_779_777_775_775_775_775_775_775_775_775_775_775_775_775_775_775_775_775_775_775_775","209_209_209_209_212_260_288_330_366_418_458_510_584_673_756_867_939_1060_1177_1312_1452_1605_1780_1943_2082_2196_2298_2328_2473_2534_2627_2707_2761_2831_2859_2874_2888_2932_3153_3372_3443_3443_3443_3443_3443_3407_3360_3320_3303_3286_3269_3269_3252_3219_3170_3153_3137_3121_3105_3084_3074_3043_3022_3012_3012_3012_3012_3012_3012_3012_3012_3012_3012_3012_3012_3012_3012_3012_3012_3012_3012_3012",6,9,4424,4206,"../backup/June14_corrected/fluteilm_NIJMEGEN/results/output_02032016124716.txt",NA,"chain 1 log1.csv 0","../backup/June14_corrected/"
71,12.2142857142857,0.676056338028169,8,61,32.0769230769231,18.572141250858,0.873239436619718,2,0.372444497694116,0.132838152071321,0.0761376823238309,71,51.3428571428571,0.661971830985915,8,312,105.705882352941,75.9496182574841,NA,119,-1,-1,-1,"log1.csv","chain 1",0,"",1,3,3,"11_11_11_48_96_124_168_205_240_270_305_344_405_459_514_570_620_657_707_733_753_770_774_781_803_816_816_814_809_805_803_803_803_803_803_803_803_803_803_803_801_800_794_785_772_772_768_768_766_766_766_766_766_766_766_766_766_766_766_766_766_766_766_766_766_766_766_766_766_766_766","218_218_218_279_363_415_503_580_660_729_818_924_1106_1286_1498_1735_1981_2185_2497_2680_2831_2962_2992_3053_3252_3372_3372_3360_3303_3269_3252_3252_3252_3252_3252_3252_3252_3252_3252_3252_3235_3219_3170_3084_2982_2982_2952_2952_2932_2932_2932_2932_2932_2932_2932_2932_2932_2932_2932_2932_2932_2932_2932_2932_2932_2932_2932_2932_2932_2932_2932",6,9,4424,4206,"../backup/June14_corrected/fluteilm_NIJMEGEN/results/output_02032016124716.txt",NA,"chain 1 log1.csv 0","../backup/June14_corrected/"
44,17.6279069767442,0.5,0,74,35.9047619047619,21.2210848156508,0.727272727272727,2,0.372444497694116,0.215063956644605,0.116481012498886,44,62.1162790697674,0.477272727272727,0,313,121.409090909091,78.3378547739656,NA,67,-1,-1,-1,"log1.csv","chain 1",0,"",1,3,4,"1_1_1_31_70_99_120_157_196_242_300_374_425_461_507_551_583_605_662_683_700_725_750_755_759_759_759_759_759_759_759_759_759_759_759_759_759_759_759_759_759_759_759_759","203_203_203_251_317_370_408_480_561_664_804_1008_1173_1292_1467_1653_1798_1905_2218_2343_2449_2627_2803_2845_2874_2874_2874_2874_2874_2874_2874_2874_2874_2874_2874_2874_2874_2874_2874_2874_2874_2874_2874_2874",6,9,4424,4206,"../backup/June14_corrected/fluteilm_NIJMEGEN/results/output_02032016124716.txt",NA,"chain 1 log1.csv 0","../backup/June14_corrected/"
