
The 'uvular' sounds occur in these languages:

Language (sounds)	Sound	% of sounds in language
ABIPON (20) 	RF, q 	10.00%	
ACHUMAWI (23) 	X, q 	8.70%	
AHTNA (35) 	G, RF, X, q', qh 	14.29%	
ALEUT (27) 	RF, X, q 	11.11%	
ARABIC (35) 	RF, X, q 	8.57%	
ARCHI (91) 	RF, RF9, RFW, RFW9, X, X9, X9:, X:, XW, XW9, XW9:, XW:, qX, qX', qX':, qX9, qX9', qX9':, qXW, qXW', qXW9, qXW9' 	24.18%	
ARMENIAN (36) 	RA, X 	5.56%	
ATAYAL (26) 	q 	3.85%	
AVAR (49) 	X, X:, qX':, qX: 	8.16%	
AWIYA (35) 	G, GW, q, qW 	11.43%	
BASHKIR (38) 	RF, q 	5.26%	
BASQUE (28) 	X 	3.57%	
BATAK (21) 	R 	4.76%	
BATS (45) 	RF, X, q', qh 	8.89%	
BELLA COOLA (31) 	X, XW, q, q', qW, qW' 	19.35%	
BURUSHASKI (43) 	RF, X, q, qh 	9.30%	
CHUKCHI (22) 	q 	4.55%	
DAJU (30) 	X 	3.33%	
DIEGUENO (34) 	q 	2.94%	
EYAK (45) 	G, X, q', qh 	8.89%	
FARSI (30) 	G, X 	6.67%	
FRENCH (37) 	R 	2.70%	
GELAO (43) 	q, qh 	4.65%	
GEORGIAN (34) 	RF, X, q' 	8.82%	
GERMAN (41) 	R 	2.44%	
HAIDA (49) 	X, XW, q, q', qW, qW', qWh, qh 	16.33%	
HAMER (35) 	q' 	2.86%	
HINDI-URDU (61) 	RF, X, q 	4.92%	
HMONG (56) 	Nq, Nqh, q, qh 	7.14%	
HOPI (28) 	q 	3.57%	
HUPA (35) 	q, q' 	5.71%	
INUIT (22) 	RF, X:, q 	13.64%	
IRAQW (45) 	q, qW 	4.44%	
ITELMEN (32) 	X, q, q' 	9.38%	
JACALTEC (32) 	X, q< 	6.25%	
JAPANESE (20) 	nU 	5.00%	
JAQARU (39) 	q, q', qh 	7.69%	
K'EKCHI (26) 	q, q' 	7.69%	
KABARDIAN (56) 	RF, RFW, X, XW, q', qW', qX, qXW 	14.29%	
KAM (27) 	X 	3.70%	
KET (25) 	q 	4.00%	
KIRGHIZ (30) 	G, q 	6.67%	
KLAMATH (37) 	G, q', qh 	8.11%	
KORYAK (21) 	q 	4.76%	
KUNIMAIPA (20) 	G 	5.00%	
KURDISH (47) 	q 	2.13%	
KURUKH (32) 	X 	3.12%	
KWAKW'ALA (48) 	G, GW, X, XW, q', qW', qWh, qh 	16.67%	
LAHU (35) 	q, qh 	5.71%	
