
The 'labiodental' sounds occur in these languages:

Language (sounds)	Sound	% of sounds in language
RUSSIAN (38) 	f, fJ, v, vJ 	10.53%	
SAAMI (45) 	f, fJ 	4.44%	
SANDAWE (54) 	f 	1.85%	
SANGO (37) 	f, mv, v 	8.11%	
SENADI (36) 	f, v 	5.56%	
SENTANI (17) 	f 	5.88%	
SHILHA (31) 	f 	3.23%	
SINHALESE (36) 	vA 	2.78%	
SOCOTRI (34) 	f 	2.94%	
SOMALI (32) 	f 	3.12%	
SONGHAI (24) 	f 	4.17%	
SPANISH (25) 	f 	4.00%	
TABI (33) 	f 	3.03%	
TAGALOG (23) 	f 	4.35%	
TAISHAN (25) 	f 	4.00%	
TAMA (30) 	f 	3.33%	
TAMASHEQ (37) 	f 	2.70%	
TAMPULMA (33) 	f, v 	6.06%	
TAORIPI (14) 	f 	7.14%	
TARASCAN (39) 	f 	2.56%	
TAROK (32) 	f, v 	6.25%	
TEKE (28) 	bv, f, mD, pf 	14.29%	
TELUGU (43) 	f 	2.33%	
TEMNE (25) 	f 	4.00%	
TERA (48) 	f, v, vJ 	6.25%	
TETUN (19) 	f 	5.26%	
THAI (30) 	f 	3.33%	
TICUNA (29) 	f 	3.45%	
TIDDIM CHIN (26) 	v 	3.85%	
TIGRE (33) 	f 	3.03%	
TRUMAI (24) 	f 	4.17%	
TSOU (21) 	f, v 	9.52%	
TULU (37) 	vA 	2.70%	
TURKISH (33) 	f, v 	6.06%	
TUVA (29) 	f 	3.45%	
UZBEK (30) 	f 	3.33%	
VIETNAMESE (36) 	f, v 	5.56%	
WAPPO (35) 	f 	2.86%	
WINTU (35) 	f 	2.86%	
WOISIKA (28) 	f, vA 	7.14%	
WOLOF (40) 	f 	2.50%	
YAGARIA (23) 	v 	4.35%	
YAKUT (34) 	f, v 	5.88%	
YAQUI (22) 	f 	4.55%	
YAY (34) 	f 	2.94%	
YORUBA (29) 	f 	3.45%	
YULU (42) 	f, mv, v 	7.14%	
YUPIK (36) 	f, v 	5.56%	
ZULU (37) 	f, v 	5.41%	

These 203 languages are 45.01% of all languages in UPSID.


The criterion 'labiodental' matches with these sounds:


Sound	Description	Sound occurs in % of UPSID's languages
bD 	voiced labiodental plosive 	0.22%
bv 	voiced labiodental affricate 	0.67%
f 	voiceless labiodental fricative 	39.91%
f' 	voiceless labiodental ejective fricative 	0.22%
f: 	long voiceless labiodental fricative 	0.22%
fJ 	palatalized voiceless labiodental fricative 	0.67%
fW 	labialized voiceless labiodental fricative 	0.22%
mD 	voiced labiodental nasal 	0.22%
mv 	prenasalized voiced labiodental fricative 	0.89%
pf 	voiceless labiodental affricate 	0.67%
pf' 	voiceless labiodental ejective affricate 	0.22%
pfh 	voiceless aspirated labiodental affricate 	0.22%
v 	voiced labiodental fricative 	21.06%
vA 	voiced labiodental approximant 	1.33%
vJ 	palatalized voiced labiodental fricative 	1.11%
vW 	labialized voiced labiodental fricative 	0.22%
v[ 	voiced labiodental flap 	0.22%
vh 	breathy voiced labiodental fricative 	0.44%

These 18 sounds make 1.96% of all 919 sounds in UPSID

